Label,x,y,elevation
CF192,-67.08525226,18.3607967,79
CF193,-67.08521858,18.35176156,72
CF194,-67.0851849,18.3427264,81
CF195,-67.08515122,18.33369123,96
CF196,-67.08511755,18.32465606,96
CF197,-67.08508388,18.31562087,144
CF198,-67.08505022,18.30658567,183
CF199,-67.08501656,18.29755046,206
CF200,-67.0849829,18.28851524,240
CF201,-67.08494924,18.27948001,194
CF202,-67.08491559,18.27044477,100
CF203,-67.08488194,18.26140952,69
CF204,-67.0848483,18.25237426,106
CF205,-67.08481466,18.24333899,153
CF206,-67.08478102,18.23430371,193
CF207,-67.08474739,18.22526843,200
CF208,-67.08471376,18.21623314,242
CF209,-67.08468013,18.20719783,212
CF210,-67.0846465,18.19816252,150
CF211,-67.08461288,18.18912721,200
CF212,-67.08457927,18.18009188,262
CF213,-67.08454565,18.17105655,199
CF214,-67.08451204,18.16202121,110
CF215,-67.08447844,18.15298586,86
CF216,-67.08444484,18.14395051,66
CF217,-67.08441124,18.13491515,72
CF218,-67.08437764,18.12587978,43
CF219,-67.08434405,18.11684441,27
CF220,-67.08431046,18.10780904,23
